-5.662185373533461519e-01,1.673238386292696112e-01,9.008662146118855407e-01,1.634408590594501387e+00,2.367950966577117011e+00,3.101493342559733080e+00
-2.654769367009217618e-01,4.680654392816939735e-01,1.201607815264309931e+00,1.935150191246925777e+00,2.668692567229541179e+00,3.402234943212157692e+00
3.526466395150264915e-02,7.688070399341183636e-01,1.502349415916734321e+00,2.235891791899350167e+00,2.969434167881965791e+00,3.702976543864582304e+00
3.360062646039270740e-01,1.069548640586542865e+00,1.803091016569158711e+00,2.536633392551774779e+00,3.270175768534389960e+00,4.003718144517006472e+00
6.367478652563514085e-01,1.370290241238967255e+00,2.103832617221582879e+00,2.837374993204198947e+00,3.570917369186814128e+00,4.304459745169430640e+00
9.374894659087757987e-01,1.671031841891391645e+00,2.404574217874007491e+00,3.138116593856623560e+00,3.871658969839239184e+00,4.605201345821854808e+00
1.238231066561200189e+00,1.971773442543816035e+00,2.705315818526432103e+00,3.438858194509047284e+00,4.172400570491663352e+00,4.905942946474279864e+00
1.538972667213624579e+00,2.272515043196240203e+00,3.006057419178856271e+00,3.739599795161472340e+00,4.473142171144087520e+00,5.206684547126704032e+00
1.839714267866048747e+00,2.573256643848664815e+00,3.306799019831280884e+00,4.040341395813896952e+00,4.773883771796511688e+00,5.507426147779128200e+00
2.140455868518473803e+00,2.873998244501088983e+00,3.607540620483705496e+00,4.341082996466321120e+00,5.074625372448936744e+00,5.808167748431552369e+00
