1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,9.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.145397489539748959e-01,1.081364829396325444e-01,1.251972645975802101e-01,1.182682154171066508e-01,1.270513499205929153e-01,1.186386123657774405e-01,6.942948507883820938e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.145397489539748959e-01,1.081364829396325444e-01,1.251972645975802101e-01,1.182682154171066508e-01,1.270513499205929153e-01,1.186386123657774405e-01,6.942948507883820938e-03
1.000000000000000000e+00,1.000000000000000000e+01,1.987447698744769786e-01,2.036745406824146953e-01,2.109416096791162376e-01,1.942977824709609669e-01,2.016940179989412385e-01,2.018705441411820234e-01,5.526065129430456080e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.145397489539748959e-01,1.081364829396325444e-01,1.251972645975802101e-01,1.182682154171066508e-01,1.270513499205929153e-01,1.186386123657774405e-01,6.942948507883820938e-03
1.500000000000000000e+02,1.000000000000000000e+01,3.247907949790794779e-01,3.354330708661417138e-01,3.350867964229353180e-01,3.262935586061245785e-01,3.451561672842773931e-01,3.333520776317117074e-01,7.345673095707609852e-03
1.500000000000000000e+02,2.000000000000000000e+01,3.226987447698744793e-01,3.406824146981627388e-01,3.435034192530247443e-01,3.299894403379091679e-01,3.425092641609316924e-01,3.358766566439805867e-01,8.167875832064869918e-03
1.500000000000000000e+02,5.000000000000000000e+01,3.211297071129707303e-01,3.370078740157480546e-01,3.435034192530247443e-01,3.299894403379091679e-01,3.488618316569613298e-01,3.360984544753228276e-01,9.797426148426191181e-03
1.500000000000000000e+02,1.000000000000000000e+02,3.253138075313807276e-01,3.370078740157480546e-01,3.456075749605470593e-01,3.294614572333685598e-01,3.520381154049762040e-01,3.378857658292041544e-01,9.896556366453534981e-03
1.500000000000000000e+02,1.000000000000000000e+01,3.247907949790794779e-01,3.354330708661417138e-01,3.350867964229353180e-01,3.262935586061245785e-01,3.451561672842773931e-01,3.333520776317117074e-01,7.345673095707609852e-03
1.500000000000000000e+02,2.000000000000000000e+01,3.226987447698744793e-01,3.406824146981627388e-01,3.435034192530247443e-01,3.299894403379091679e-01,3.425092641609316924e-01,3.358766566439805867e-01,8.167875832064869918e-03
1.500000000000000000e+02,5.000000000000000000e+01,3.211297071129707303e-01,3.370078740157480546e-01,3.435034192530247443e-01,3.299894403379091679e-01,3.488618316569613298e-01,3.360984544753228276e-01,9.797426148426191181e-03
1.500000000000000000e+02,1.000000000000000000e+02,3.253138075313807276e-01,3.370078740157480546e-01,3.456075749605470593e-01,3.294614572333685598e-01,3.520381154049762040e-01,3.378857658292041544e-01,9.896556366453534981e-03
